review,label
It doesn't tell you how to higher score and the tourial says to tap two tiles and said your ready I suggest not to get this game.,complaint
Love it,
Nice game ....????,
"I hate this game,it always say as bad",complaint
I love it. It's something to keep my hands busy.,
A really good game the way it lets play all that so i give this game 5 stars,
I JUST LOVE IT??,
Hated it,complaint
Its ok,
Awsome ??????,
I think it is fun and challenging and great to play,
Love it????,
Best game ever,
I think this is a very fun and challenging game for people to play so I strongly encourage you to download and play this fun game!!!!!,
It was fun to play,
I loved the game,
Really nice piano songs ???????? I love it??,
"Very relevant and easy ,not so difficult.GOOD!",
Awesome game,
Cissca. Joy. A. Salaber,
It's just awsome,
THEY MAKE YOU USE TO MANY FINGERS !,complaint
I love this game because it challenges me and my fingers,
The werst game ever,
Ok,
I think it's a pretty good game if your bored or your waiting at a salon to get your hair done etc.,
Awesome game,
I love this game but how to install pls help me. I loved it pls help I want to play this game but I don't know how?,information seeking
It is awsome,
Awsome,
XDROBLO,
really good for me,
Good,
Amazing how do you do it,
It is so good I don't even mind the ads,
More practice,
It is hard,
Its a really nice game I think everyone should play it,
Ok,
Jamaica simon,
Beutiful. Very good,
Good,
Good game but it is true we need a pause button,request
Agdh ????????,
When im taping it doesn't register its annoying but the game is pretty good,complaint
"awesome,I've played this game scince I was 6,I'm 9 now,its been my favorite game since literatlly forever,ihope everybody else has as much fun as I do!",
Loved it,
I love it,
????????????????,
"Literally a copy of piano tiles 2, so many others like that. If you want a good piano game just go to ""Piano tiles 2"" much more content, you don't get ads after every game. Plus you get more songs you know. The only thing I enjoyed from this was the guitar based songs, kind of.",comparison
Yes,
It's really good,
Crystal. You lock,
So best game,
Its to good iblove the sound,
i dontnow evrything in this game and i am so soyyy????????????????????,
U do a very great app. App of the year!! Thumbs-up.... Continue developing n hard efforts !!!!,
I love it.,
Too cheap to pay for actual songs? This game would be A LOT funner with familiar songs.,request
All you get is BAD when you play data why I'm oli dowloding dis stupid game,complaint
Great game,
"Game Music: 4.9 Stars (of 5 Stars). Awesome ! I love the ""PIANO - MAGIC WHITE TILES 2 Game"" game music.",
It's awesome! But too many ads,complaint
??????,
Challingeong af,
On my phone it skipped in the songs and would lag on my phone.,complaint
"I love it,it is mostly like the piano tiles by chetha i love that too i gave all of the servey qustions a 5.5555????",
Helps a lot,
It's a good game e,
Its very nice game only it is very fast game,
Is an good app and its intertaning like it????,
I give up on this dumb game,
Awesome app,
I love this game I've played ever since I was 5 now I'm almost 10,
It so fu,
I think it's a great game.,
"Overall a good app. If only you can add a pause button to allow us to pause in the middle of the game so that we can run our errand and get back to the game when we are done. And also, if there is CHINESE songs, it would be excellent!",request
Addicting and awesome to play u never get tired of it!??,
Eh (;,
Really nice,
