review,label
Make it like better with a giant pig bigger than king pig.,request
"These screens are small enough without crowding in more stuff""  Tuck it in with the rest of the add ons I never use and please get it out of my face!""",complaint
"Dear Rovio; If you absolutely must continue trying to squeeze dollars from your customers this way, at least have the decency to include an opt out for those like myself who are absolutely NOT going to spend an amount equal to what I paid for the app in the first place just to have some gimmicky and expendable in game item.",request-complaint
App crashes when new power up notice pops up.,complaint
It would be nice to have an update that didn  t crash the app.,complaint
App crashes with new release.,complaint
I have had no problems with any of the versions so far.,
Please bring back the trajectory line or at least make it to where you can turn it on or off.,request
This is not worth buying it will crash right from the beginning.,complaint
I will say you should make shock so close to the other buttons because I like to use the birds you provide.,request
That needs to change.,
"Similarly every single app that gets updated to a beautiful"" ios7 look is one I will not update.""",
This should Really be fixed!,request-complaint
And you still can  t upload videos!!,complaint
"Is it just me, or is anyone else having the problem where the app won  t even open at all?",complaint
I need to save my photos.,request
I  ve never had any issues with it and have been a user for years.,
The app doesn  t work unless you have the iOS 7 update and not all devices have that update so they should really fix this.,complaint
I now see that you must have IO7 or better for the app.,
"Please, please give us the ability to rename files from this app.",request
I  ll rate 5 once you can view '.',request
I still cannot believe that the team at Dropbox STILL hasn?,
Sez needs software update but Apple sez software is uptodate.,complaint
It would allow me to get work done on my phone and edit files on the go for projects.,
Only thing is they need to offer better customized pricing for upgrade plans.,request
"Please, please FIX this video upload issue.",request-complaint
"\nI would turn off automatic uploads, but i need my regular photos to upload.",
Please please please these are easy changes...it used to be this way so make it go back!!!,request
Please fix the syncing issues with the iPad app.,complaint
"Trying to automate it would be good if it worked, but it doesn  t. ,",complaint
Why everything is so white?,
The pictures show a white background just like the iOS7 photo app.,
"U Dropbox employers improved mostly everything, but in the app it should have the ability to rename files, whereas the web version can.",request
Ask me if I would like to use background uploading only once and remember my preference   don  t pester me every time I open the app to turn that feature on.,request-complaint
"I  ve been a loyal EN fan for years but just this week it  s frozen and after reinstalling on both my iPad and iPhone, it crashes each time I open it.",complaint
Holidays are here and I  m a disorganized mess without EN!,
"For some reason, it doesn  t quite feel user friendly to me just yet.",complaint
And it  s all available on iPad and iPhone.,
Latest version crashes on launch on my iPad in iOS 7.,complaint
I need my notes!,request
Contacted Evernote support.....they are working on the fix.,
240 notes I can  t see.,complaint
It crashes all the time and the only way I can resolve is uninstall/reinstall the app.,complaint
The new version crashes on startup on my iPhone and iPad.,complaint
Deleting app and reinstalling does not work either.,complaint
The latest version crashes on launch for my iPhone 5s.,complaint
This is the third update in 3 months that has crashed upon installation for me.,complaint
Just crashes.,complaint
Got the latest update and now it will not open on my phone.,complaint
Please fix this ASAP.,request-complaint
"Now, it crashes when loading.",complaint
Please fix it!,request-complaint
"The latest interface is substandard from a useability standpoint besides being ugly, and the latest version will not launch on my iPhone 5.",complaint
Do not update.,
Latest update crashes every time on startup on 5S.,complaint
I count on Evernote for many things across many devices but now the app just crashes on my iPhone 5.,complaint
"Please fix it or at least let us know you are working on this ,",request-complaint
Latest update crashes!,complaint
